senderID,receiverID,amount,transactionType,transactionDate
Mint Income,MC6901934,0.0417,Mint Income,2025-06-07T06:15:52.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-07T06:18:01.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-07T06:18:09.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-07T06:29:55.867+00:00
Mint Income,MC9375085,0.2499,Mint Income,2025-06-07T06:46:54.867+00:00
Mint Income,MC6301970,16.66,Mint Income,2025-06-07T06:48:26.867+00:00
Mint Income,MC8404455,41.65,Mint Income,2025-06-07T07:15:38.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-07T07:28:24.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-07T08:02:19.867+00:00
Mint Income,MC2986509,0.0833,Mint Income,2025-06-07T08:08:29.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-07T08:10:43.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-07T08:15:43.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-07T08:15:51.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-07T08:24:25.867+00:00
Mint Income,MC4845337,0.0833,Mint Income,2025-06-07T08:51:01.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-07T09:17:37.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-07T09:50:55.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-07T09:57:48.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-07T10:07:25.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-07T10:14:20.867+00:00
Mint Income,MC2081636,1.25,Mint Income,2025-06-07T10:49:48.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-07T10:56:02.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-06-07T11:33:39.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-07T11:34:17.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-07T11:52:32.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-07T11:53:29.867+00:00
Convenience Fee,MC6301970,0,Convenience Fee,2025-06-07T12:01:46.867+00:00
Fund Withdrawal,MC6301970,0,Fund Withdrawal,2025-06-07T12:01:46.867+00:00
Mint Income,MC4980098,0.0417,Mint Income,2025-06-07T13:28:54.867+00:00
Mint Income,MC8374449,4.165,Mint Income,2025-06-07T14:38:59.867+00:00
Mint Income,MC7565994,49.98,Mint Income,2025-06-07T14:39:46.867+00:00
Mint Income,MC5359627,0.0417,Mint Income,2025-06-07T14:43:38.867+00:00
Mint Income,MC8869573,41.9832,Mint Income,2025-06-07T15:24:45.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-06-07T15:40:36.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-07T16:03:47.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-06-07T16:18:36.867+00:00
Mint Income,MC6244314,0.1666,Mint Income,2025-06-07T16:55:51.867+00:00
Mint Income,MC1585567,24.99,Mint Income,2025-06-07T17:29:00.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-07T17:30:30.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-07T17:34:37.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-07T17:35:00.867+00:00
Mint Income,MC6301970,16.66,Mint Income,2025-06-07T18:07:30.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-07T18:12:56.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-07T18:13:37.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-07T18:13:59.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-07T18:13:59.867+00:00
Mint Income,MC9375085,0.2499,Mint Income,2025-06-07T18:26:58.867+00:00
Mint Income,MC4955784,0.499,Mint Income,2025-06-07T18:32:21.867+00:00
Mint Income,MC5505724,0.1666,Mint Income,2025-06-07T18:54:31.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-07T19:11:08.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-06-07T19:17:56.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-06-07T19:18:01.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-06-07T19:18:05.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-07T20:06:50.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-07T20:12:04.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-07T20:12:44.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-07T20:23:22.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-07T21:23:38.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-07T21:38:21.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-07T22:04:04.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-07T22:08:02.867+00:00
Convenience Fee,MC3988379,0,Convenience Fee,2025-06-07T22:08:50.867+00:00
Fund Withdrawal,MC3988379,0,Fund Withdrawal,2025-06-07T22:08:50.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-07T22:09:29.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-07T22:54:29.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-07T23:31:05.867+00:00
Mint Income,MC3072974,3.332,Mint Income,2025-06-07T23:36:32.867+00:00
Mint Income,MC4845337,0.0833,Mint Income,2025-06-08T00:11:50.867+00:00
Minting Level Income,MC1291738,0.055,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC1382081,0.0333,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC1603820,0.9996,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC1897522,5.9976,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC1915335,0.025,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC2081636,0.025,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC2946258,1.0996,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC340443,7.497,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC3564968,0.4998,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC3795778,0.0167,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC6106418,1.0496,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC6588012,1.2337,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC7076453,0.0542,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC7785148,0.055,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC8610353,1.4994,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC8954564,2.8108,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC9014956,0.1,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC9267266,0.0249,Minting Level Income,2025-06-08T00:15:01.867+00:00
Minting Level Income,MC9471052,0.0766,Minting Level Income,2025-06-08T00:15:01.867+00:00
Mint Income,MC9207770,3.332,Mint Income,2025-06-08T01:11:22.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-08T01:27:24.867+00:00
Mint Income,MC2056416,9.996,Mint Income,2025-06-08T03:41:19.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-08T04:11:52.867+00:00
Mint Income,MC6901934,0.0417,Mint Income,2025-06-08T04:56:13.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-08T05:04:13.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-08T05:04:36.867+00:00
Mint Income,MC2986509,0.0833,Mint Income,2025-06-08T05:06:50.867+00:00
Mint Income,MC7048213,0.0417,Mint Income,2025-06-08T05:10:24.867+00:00
Mint Income,MC6244314,0.1666,Mint Income,2025-06-08T05:23:02.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-08T05:31:53.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-08T06:25:22.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-08T06:30:30.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-08T06:30:41.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-06-08T06:46:10.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-08T06:48:57.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-08T07:10:46.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-08T07:23:49.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-08T07:24:01.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-08T08:10:24.867+00:00
Mint Income,MC1585567,24.99,Mint Income,2025-06-08T08:25:51.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-08T08:27:05.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-08T08:27:12.867+00:00
Mint Income,MC5623181,3.332,Mint Income,2025-06-08T08:35:51.867+00:00
Mint Income,MC3331511,3.332,Mint Income,2025-06-08T09:01:26.867+00:00
Mint Income,MC5359627,0.0417,Mint Income,2025-06-08T09:31:42.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-06-08T09:41:58.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-08T09:44:06.867+00:00
Mint Income,MC8782877,3.332,Mint Income,2025-06-08T10:35:56.867+00:00
Mint Income,MC5505724,0.1666,Mint Income,2025-06-08T10:39:45.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-08T10:49:05.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-08T11:07:08.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-08T11:08:23.867+00:00
Mint Income,MC2081636,1.25,Mint Income,2025-06-08T11:10:05.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-08T11:27:57.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-08T11:31:30.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-08T11:42:32.867+00:00
Mint Income,MC8869573,41.9832,Mint Income,2025-06-08T11:56:32.867+00:00
Mint Income,MC5776929,0.0417,Mint Income,2025-06-08T12:15:23.867+00:00
Mint Income,MC9375085,0.2499,Mint Income,2025-06-08T12:24:02.867+00:00
Mint Income,MC1165261,0.0417,Mint Income,2025-06-08T12:50:29.867+00:00
Mint Income,MC6301970,16.66,Mint Income,2025-06-08T13:10:12.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-08T13:25:19.867+00:00
Mint Income,MC4845337,0.0833,Mint Income,2025-06-08T14:08:58.867+00:00
Mint Income,MC3072974,3.332,Mint Income,2025-06-08T14:43:01.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-08T15:46:14.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-08T16:05:16.867+00:00
Mint Income,MC7565994,49.98,Mint Income,2025-06-08T16:12:24.867+00:00
Mint Income,MC8374449,4.165,Mint Income,2025-06-08T16:18:47.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-06-08T17:29:35.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-06-08T17:29:40.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-06-08T17:29:44.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-06-08T17:29:48.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-08T17:30:39.867+00:00
Mint Income,MC2986509,0.0833,Mint Income,2025-06-08T18:00:04.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-08T18:08:47.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-08T18:16:43.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-08T18:21:06.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-08T18:21:22.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-08T19:11:30.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-08T19:22:53.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-08T19:23:25.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-08T19:30:27.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-08T19:30:38.867+00:00
Mint Income,MC6244314,0.1666,Mint Income,2025-06-08T19:36:14.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-08T20:15:20.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-08T20:16:33.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-08T20:29:54.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-08T22:24:07.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-08T23:00:56.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-08T23:02:55.867+00:00
Mint Income,MC3331511,3.332,Mint Income,2025-06-08T23:08:25.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-08T23:17:11.867+00:00
Mint Income,MC8782877,3.332,Mint Income,2025-06-08T23:19:16.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-08T23:29:54.867+00:00
Mint Income,MC9207770,3.332,Mint Income,2025-06-08T23:41:25.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-08T23:57:09.867+00:00
Mint Income,MC5623181,3.332,Mint Income,2025-06-09T00:00:06.867+00:00
Minting Level Income,MC1382081,0.0666,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC1603820,1.9992,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC1897522,1.9992,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC1915335,0.0126,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC2081636,0.0083,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC2946258,2.0492,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC2986509,0.0333,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC340443,2.499,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC3564968,1.9992,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC3795778,0.025,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC3988379,1.9992,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC6106418,2.0992,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC6244314,0.0333,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC6588012,0.7833,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC6755591,0.0042,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC7076453,0.0292,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC8610353,0.4998,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC8954564,6.1985,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC9014956,0.05,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC9267266,0.0167,Minting Level Income,2025-06-09T01:15:23.867+00:00
Minting Level Income,MC9471052,0.0383,Minting Level Income,2025-06-09T01:15:23.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-09T01:23:45.867+00:00
Mint Income,MC1585567,24.99,Mint Income,2025-06-09T01:53:38.867+00:00
Mint Income,MC4845337,0.0833,Mint Income,2025-06-09T02:45:09.867+00:00
Mint Income,MC9375085,0.2499,Mint Income,2025-06-09T03:01:26.867+00:00
Mint Income,MC1165261,0.0417,Mint Income,2025-06-09T03:30:49.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-06-09T03:58:57.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-09T04:01:49.867+00:00
Mint Income,MC5505724,0.1666,Mint Income,2025-06-09T04:11:47.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-09T05:02:26.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-09T05:30:45.867+00:00
Mint Income,MC6301970,16.66,Mint Income,2025-06-09T05:46:16.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-09T06:00:35.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-09T06:06:46.867+00:00
Mint Income,MC9267266,0.0417,Mint Income,2025-06-09T06:23:17.867+00:00
Mint Income,MC3072974,3.332,Mint Income,2025-06-09T06:44:52.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-09T07:09:52.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-09T07:10:01.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-09T07:10:11.867+00:00
Mint Income,MC5359627,0.0417,Mint Income,2025-06-09T07:12:35.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-09T07:14:03.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-09T07:14:30.867+00:00
Mint Income,MC2986509,0.0833,Mint Income,2025-06-09T07:25:10.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-09T08:02:00.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-09T08:03:21.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-09T08:03:32.867+00:00
Mint Income,MC7048213,0.0417,Mint Income,2025-06-09T08:04:58.867+00:00
Mint Income,MC9787611,3.332,Mint Income,2025-06-09T08:19:54.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-09T08:30:11.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-09T08:52:15.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-09T08:52:26.867+00:00
Mint Income,MC6244314,0.1666,Mint Income,2025-06-09T09:17:17.867+00:00
Fund Transfer,MC6588012,0,Fund Transfer,2025-06-09T09:57:28.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-09T10:26:34.867+00:00
Mint Income,MC1382081,24.99,Mint Income,2025-06-09T10:34:44.867+00:00
MC5242915 ,MC1165261,2.5,Direct Income,2025-06-09T10:46:01.867+00:00
Mint Income,MC3331511,3.332,Mint Income,2025-06-09T11:02:47.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-09T11:08:54.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-09T11:23:38.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-09T11:31:11.867+00:00
Convenience Fee,MC9014956,0,Convenience Fee,2025-06-09T11:59:56.867+00:00
Fund Withdrawal,MC9014956,0,Fund Withdrawal,2025-06-09T11:59:56.867+00:00
Mint Income,MC7565994,49.98,Mint Income,2025-06-09T12:04:24.867+00:00
Mint Income,MC8954564,3.6652,Mint Income,2025-06-09T12:07:49.867+00:00
Mint Income,MC2056416,9.996,Mint Income,2025-06-09T13:00:10.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-09T13:18:48.867+00:00
Mint Income,MC5623181,3.332,Mint Income,2025-06-09T13:21:15.867+00:00
Mint Income,MC340443,24.99,Mint Income,2025-06-09T13:28:15.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-06-09T13:28:21.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-06-09T13:28:27.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-06-09T13:28:31.867+00:00
Convenience Fee,MC1382081,0,Convenience Fee,2025-06-09T13:46:54.867+00:00
Fund Withdrawal,MC1382081,0,Fund Withdrawal,2025-06-09T13:46:54.867+00:00
Mint Income,MC4845337,0.0833,Mint Income,2025-06-09T14:09:00.867+00:00
Convenience Fee,MC1382081,0,Convenience Fee,2025-06-09T14:15:15.867+00:00
Fund Withdrawal,MC1382081,0,Fund Withdrawal,2025-06-09T14:15:15.867+00:00
Mint Income,MC4955784,0.499,Mint Income,2025-06-09T14:34:44.867+00:00
Mint Income,MC2081636,1.25,Mint Income,2025-06-09T14:34:49.867+00:00
Fund Transfer,MC8954564,0,Fund Transfer,2025-06-09T14:36:11.867+00:00
Fund Transfer,MC8954564,0,Fund Transfer,2025-06-09T14:37:43.867+00:00
Fund Transfer,MC8954564,0,Fund Transfer,2025-06-09T14:38:58.867+00:00
Mint Income,MC8548529,0.0916,Mint Income,2025-06-09T15:32:18.867+00:00
MC8240141 ,MC4845337,10,Direct Income,2025-06-09T15:52:01.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-09T16:08:32.867+00:00
Mint Income,MC1165261,0.0417,Mint Income,2025-06-09T16:08:47.867+00:00
Convenience Fee,MC8954564,0,Convenience Fee,2025-06-09T16:34:10.867+00:00
Fund Withdrawal,MC8954564,0,Fund Withdrawal,2025-06-09T16:34:10.867+00:00
Mint Income,MC8404455,41.65,Mint Income,2025-06-09T16:35:05.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-09T17:05:29.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-09T17:30:36.867+00:00
MC7228064 ,MC8954564,10,Direct Income,2025-06-09T17:34:02.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-09T17:39:29.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-09T17:40:50.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-09T18:03:14.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-09T18:22:26.867+00:00
Mint Income,MC1585567,24.99,Mint Income,2025-06-09T18:35:59.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-06-09T18:59:15.867+00:00
Convenience Fee,MC9014956,0,Convenience Fee,2025-06-09T19:01:04.867+00:00
Fund Withdrawal,MC9014956,0,Fund Withdrawal,2025-06-09T19:01:04.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-09T19:09:29.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-09T19:09:39.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-09T19:09:46.867+00:00
Mint Income,MC9375085,0.2499,Mint Income,2025-06-09T19:10:32.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-09T19:12:10.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-09T19:12:32.867+00:00
Mint Income,MC5505724,0.1666,Mint Income,2025-06-09T19:22:58.867+00:00
Mint Income,MC3072974,3.332,Mint Income,2025-06-09T19:40:08.867+00:00
Mint Income,MC8131371,4.998,Mint Income,2025-06-09T20:00:31.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-09T20:00:31.867+00:00
Mint Income,MC1603820,0.5,Mint Income,2025-06-09T20:01:08.867+00:00
Mint Income,MC5359627,0.0417,Mint Income,2025-06-09T20:04:17.867+00:00
Mint Income,MC9787611,3.332,Mint Income,2025-06-09T20:08:07.867+00:00
Mint Income,MC8869573,41.9832,Mint Income,2025-06-09T20:09:00.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-09T20:30:12.867+00:00
Mint Income,MC9471052,0.2499,Mint Income,2025-06-09T20:41:22.867+00:00
Mint Income,MC7076453,0.1916,Mint Income,2025-06-09T20:41:44.867+00:00
Mint Income,MC2878509,3.332,Mint Income,2025-06-09T23:09:49.867+00:00
Mint Income,MC3331511,3.332,Mint Income,2025-06-09T23:20:51.867+00:00
Mint Income,MC7456490,24.99,Mint Income,2025-06-09T23:33:42.867+00:00
Mint Income,MC5453359,3.332,Mint Income,2025-06-09T23:41:27.867+00:00
Hyper Binary Income,MC2946258,1.5,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC340443,19,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC4845337,10,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC6588012,19,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC8954564,17.5,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC9014956,1.5,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Hyper Binary Income,MC9471052,2.5,Hyper Binary Income,2025-06-10T00:00:11.867+00:00
Mint Income,MC7565994,49.98,Mint Income,2025-06-10T00:11:14.867+00:00
Mint Income,MC1471854,4.998,Mint Income,2025-06-10T01:11:39.867+00:00
Mint Income,MC4845337,0.1,Mint Income,2025-06-10T02:30:24.867+00:00
Mint Income,MC1291738,0.2749,Mint Income,2025-06-10T02:44:31.867+00:00
Mint Income,MC6588012,3.332,Mint Income,2025-06-10T02:49:23.867+00:00
Convenience Fee,MC6588012,0,Convenience Fee,2025-06-10T03:26:43.867+00:00
Fund Withdrawal,MC6588012,0,Fund Withdrawal,2025-06-10T03:26:43.867+00:00
Mint Income,MC2056416,9.996,Mint Income,2025-06-10T03:57:57.867+00:00
Mint Income,MC7000797,0.1666,Mint Income,2025-06-10T04:09:10.867+00:00
Mint Income,MC6244314,0.1666,Mint Income,2025-06-10T04:56:06.867+00:00
Mint Income,MC8240141,0.6664,Mint Income,2025-06-10T05:13:41.867+00:00
Mint Income,MC2986509,0.0833,Mint Income,2025-06-10T05:15:52.867+00:00
Mint Income,MC1165261,0.0417,Mint Income,2025-06-10T05:21:00.867+00:00
Mint Income,MC3988379,3.332,Mint Income,2025-06-10T05:21:01.867+00:00
Mint Income,MC5623181,3.332,Mint Income,2025-06-10T05:23:46.867+00:00
Mint Income,MC5832092,0.0417,Mint Income,2025-06-10T05:30:45.867+00:00
Mint Income,MC7228064,0.1666,Mint Income,2025-06-10T05:33:57.867+00:00
Mint Income,MC3795778,0.9996,Mint Income,2025-06-10T05:43:18.867+00:00
Mint Income,MC9267266,0.0417,Mint Income,2025-06-10T05:45:16.867+00:00
Mint Income,MC9575154,3.332,Mint Income,2025-06-10T05:49:40.867+00:00
Mint Income,MC1810108,0.2499,Mint Income,2025-06-10T05:56:26.867+00:00
Mint Income,MC6106418,4.998,Mint Income,2025-06-10T05:58:09.867+00:00
Mint Income,MC3405424,4.998,Mint Income,2025-06-10T06:07:41.867+00:00
Mint Income,MC8708777,0.125,Mint Income,2025-06-10T06:12:45.867+00:00
Mint Income,MC1446685,3.332,Mint Income,2025-06-10T06:21:16.867+00:00
Mint Income,MC5767815,4.998,Mint Income,2025-06-10T07:09:06.867+00:00
Mint Income,MC1459401,4.998,Mint Income,2025-06-10T07:09:17.867+00:00
Mint Income,MC7353896,4.998,Mint Income,2025-06-10T07:09:25.867+00:00
Mint Income,MC3072974,3.332,Mint Income,2025-06-10T07:12:52.867+00:00
Mint Income,MC4311217,4.998,Mint Income,2025-06-10T07:13:39.867+00:00
Mint Income,MC3564968,0.5,Mint Income,2025-06-10T07:14:02.867+00:00
Mint Income,MC1023243,3.332,Mint Income,2025-06-10T07:15:34.867+00:00
Mint Income,MC7048213,0.0417,Mint Income,2025-06-10T07:18:14.867+00:00
Mint Income,MC3417527,0.499,Mint Income,2025-06-10T08:00:11.867+00:00
Mint Income,MC6301970,16.66,Mint Income,2025-06-10T08:00:13.867+00:00
Mint Income,MC9787611,3.332,Mint Income,2025-06-10T08:05:20.867+00:00
Mint Income,MC9014956,0.2499,Mint Income,2025-06-10T08:24:33.867+00:00
Mint Income,MC6755591,0.2499,Mint Income,2025-06-10T08:33:17.867+00:00
